iter	Logloss
0	0.6814612671
1	0.6715079844
2	0.654088192
3	0.6449460164
4	0.631919673
5	0.6233878037
6	0.6106037769
7	0.5922224129
8	0.5875396053
9	0.5766195047
10	0.5711092433
11	0.5604509732
12	0.5539062577
13	0.54516152
14	0.5370455003
15	0.5331631071
16	0.5292262469
17	0.5263075107
18	0.5217302204
19	0.5125568403
20	0.5068438627
21	0.5031956579
22	0.4949989277
23	0.4895847464
24	0.4847519412
25	0.4832132199
26	0.4767080254
27	0.470254316
28	0.4668304588
29	0.4624807856
30	0.4543941763
31	0.4508674819
32	0.4433260434
33	0.4357033741
34	0.4269019154
35	0.4230981633
36	0.4169851162
37	0.41337828
38	0.4081112707
39	0.4036050552
40	0.396559312
41	0.391112837
42	0.386409102
43	0.3844170742
44	0.3788357334
45	0.3773113412
46	0.3738065994
47	0.3712077902
48	0.368424358
49	0.3666627368
50	0.3627660732
51	0.3574024287
52	0.3532819911
53	0.3496116588
54	0.3478924582
55	0.3440724381
56	0.3411974821
57	0.3353190859
58	0.3328516599
59	0.3286434938
60	0.3263907492
61	0.3236886428
62	0.3181454956
63	0.3134811248
64	0.3122303303
65	0.3084232803
66	0.3035298993
67	0.3002401282
68	0.2968714836
69	0.2927930796
70	0.290769422
71	0.289023822
72	0.2857850383
73	0.2829993828
74	0.2827361324
75	0.2796102711
76	0.2776482211
77	0.2760291986
78	0.2729636273
79	0.2703292356
80	0.2669936614
81	0.2627726376
82	0.2596073447
83	0.2557573094
84	0.2520403206
85	0.2500305122
86	0.2462060066
87	0.2448603764
88	0.2414083531
89	0.2371454665
90	0.2348867546
91	0.2317454586
92	0.2311608301
93	0.2287746595
94	0.2268583847
95	0.2242751283
96	0.2224195388
97	0.2184958934
98	0.2137863631
99	0.2115071835
100	0.2100284649
101	0.2091222911
102	0.2074001393
103	0.206164898
104	0.2037369719
105	0.2010965332
106	0.1995507358
107	0.196817087
108	0.1950655433
109	0.1926640627
110	0.1909235524
111	0.1895520942
112	0.1885788178
113	0.1870587895
114	0.1864714587
115	0.1839103158
116	0.1825418278
117	0.1804686488
118	0.1774989345
119	0.1757929672
120	0.1741898606
121	0.1724887179
122	0.1696644403
123	0.1687944498
124	0.1665202565
125	0.1649343028
126	0.1639079457
127	0.1632711087
128	0.1617260533
129	0.1608172506
130	0.1599600826
131	0.1585841401
132	0.1567217577
133	0.1565032219
134	0.1548896591
135	0.1524083577
136	0.1508017098
137	0.148948228
138	0.1480598226
139	0.1468070652
140	0.1458711466
141	0.1442553205
142	0.1429810472
143	0.1427068729
144	0.1406954364
145	0.139179345
146	0.138739577
147	0.1380978661
148	0.1368694539
149	0.1357521431
150	0.135134864
151	0.1343889902
152	0.1341733601
153	0.1336697637
154	0.1327918324
155	0.1316290273
156	0.130764792
157	0.1295719826
