iter	Passed	Remaining
0	37	37238
1	64	32412
2	91	30251
3	123	30768
4	151	30142
5	176	29301
6	217	30807
7	250	31077
8	274	30277
9	303	30038
10	331	29765
11	356	29340
12	387	29385
13	416	29311
14	448	29456
15	473	29147
16	504	29144
17	529	28870
18	556	28727
19	589	28889
20	612	28555
21	638	28391
22	662	28149
23	687	27959
24	721	28140
25	759	28463
26	783	28228
27	805	27961
28	828	27755
29	850	27499
30	872	27266
31	898	27177
32	926	27150
33	954	27131
34	976	26927
35	997	26706
36	1018	26518
37	1040	26347
38	1062	26173
39	1084	26035
40	1107	25894
41	1128	25737
42	1150	25608
43	1178	25596
44	1201	25488
45	1224	25397
46	1245	25264
47	1270	25197
48	1303	25303
49	1330	25276
50	1351	25144
51	1373	25038
52	1395	24935
53	1418	24853
54	1441	24762
55	1462	24647
56	1482	24531
57	1505	24451
58	1526	24347
59	1547	24248
60	1568	24142
61	1588	24035
62	1609	23935
63	1631	23858
64	1656	23822
65	1679	23769
66	1703	23721
67	1725	23651
68	1748	23585
69	1770	23521
70	1812	23721
71	1836	23668
72	1893	24048
73	1932	24181
74	1958	24156
75	1991	24218
76	2025	24285
77	2059	24339
78	2089	24360
79	2128	24480
80	2155	24458
81	2195	24576
82	2238	24726
83	2270	24764
84	2297	24728
85	2330	24773
86	2362	24789
87	2386	24737
88	2422	24797
89	2459	24863
90	2483	24812
91	2523	24906
92	2552	24893
93	2580	24875
94	2617	24933
95	2643	24892
96	2689	25033
97	2714	24984
98	2741	24946
99	2772	24952
100	2805	24968
101	2833	24942
102	2861	24916
103	2891	24908
104	2917	24865
105	2942	24819
106	2971	24798
107	3000	24783
108	3025	24728
109	3050	24684
110	3076	24640
111	3099	24573
112	3126	24542
113	3154	24514
114	3180	24472
115	3211	24476
116	3239	24451
117	3263	24396
118	3289	24350
119	3316	24319
120	3342	24284
121	3371	24260
122	3402	24260
123	3435	24270
124	3459	24215
125	3491	24217
126	3524	24224
127	3553	24207
128	3578	24163
129	3607	24142
130	3632	24093
131	3669	24130
132	3701	24128
133	3729	24105
134	3759	24090
135	3787	24064
136	3813	24023
137	3845	24021
138	3889	24090
139	3913	24038
140	3954	24089
141	3983	24072
142	4008	24025
143	4036	23992
144	4060	23940
145	4085	23895
146	4128	23958
147	4152	23907
148	4177	23859
149	4211	23867
150	4238	23832
151	4267	23807
152	4293	23769
153	4330	23791
154	4355	23745
155	4382	23709
156	4411	23689
157	4443	23681
158	4469	23639
159	4495	23602
160	4521	23560
161	4543	23502
162	4567	23454
163	4589	23394
164	4622	23391
165	4656	23395
166	4683	23360
167	4706	23310
168	4732	23269
169	4768	23279
170	4797	23258
171	4827	23237
172	4855	23211
173	4881	23171
174	4911	23154
175	4939	23126
176	4966	23092
177	4995	23070
178	5023	23040
179	5048	22998
180	5077	22974
181	5103	22937
182	5126	22885
183	5150	22839
184	5176	22803
185	5200	22759
186	5229	22737
187	5253	22692
188	5280	22658
189	5312	22646
190	5337	22609
191	5373	22614
192	5406	22604
193	5434	22578
194	5460	22541
