iter	Passed	Remaining
0	33	33623
1	46	22994
2	58	19374
3	70	17550
4	82	16482
5	97	16167
6	110	15726
7	123	15353
8	136	15067
9	148	14711
10	160	14441
11	174	14372
12	187	14230
13	199	14031
14	211	13904
15	223	13756
16	235	13639
17	247	13511
18	259	13412
19	274	13444
20	292	13615
21	307	13659
22	324	13782
23	336	13693
24	348	13574
25	360	13502
26	377	13599
27	389	13521
28	401	13432
29	412	13345
30	423	13251
31	437	13248
32	451	13226
33	463	13156
34	474	13087
35	487	13045
36	501	13050
37	515	13042
38	527	12986
39	545	13089
40	558	13065
41	571	13026
42	585	13036
43	599	13024
44	613	13021
45	625	12967
46	636	12915
47	648	12861
48	660	12813
49	672	12768
50	684	12729
51	695	12681
52	707	12640
53	719	12599
54	731	12569
55	743	12532
56	755	12498
57	767	12462
58	778	12418
59	790	12382
60	802	12358
61	814	12324
62	826	12286
63	837	12253
64	849	12226
65	861	12192
66	873	12168
67	885	12142
68	897	12112
69	909	12079
70	920	12048
71	932	12020
72	944	11998
73	956	11968
74	968	11938
75	980	11919
76	992	11894
77	1004	11868
78	1015	11842
79	1027	11820
80	1039	11794
81	1051	11768
82	1062	11743
83	1075	11725
84	1087	11703
85	1098	11679
86	1110	11656
87	1122	11633
88	1134	11611
89	1146	11591
90	1157	11567
91	1169	11546
92	1181	11524
93	1193	11505
94	1205	11485
95	1217	11460
96	1229	11441
97	1240	11421
98	1252	11397
99	1264	11377
100	1276	11359
101	1287	11338
102	1300	11329
103	1314	11329
104	1327	11313
105	1340	11309
106	1353	11299
107	1365	11280
108	1377	11260
109	1389	11244
110	1401	11223
111	1413	11206
112	1424	11184
113	1436	11164
114	1448	11146
115	1461	11133
116	1474	11128
117	1486	11113
118	1498	11091
119	1512	11092
120	1528	11106
121	1544	11118
122	1559	11118
123	1572	11109
124	1585	11098
125	1597	11078
126	1609	11062
127	1621	11044
128	1632	11024
129	1644	11005
130	1656	10990
131	1669	10979
132	1681	10961
133	1693	10945
134	1705	10927
135	1717	10910
136	1728	10890
137	1741	10875
138	1753	10859
139	1765	10842
140	1777	10827
141	1789	10814
142	1801	10796
143	1813	10779
144	1825	10762
145	1836	10745
146	1848	10728
147	1860	10711
148	1872	10693
149	1884	10678
150	1896	10662
151	1908	10645
152	1920	10629
153	1932	10614
154	1944	10598
155	1955	10579
156	1967	10564
157	1979	10548
158	1991	10531
159	2002	10513
160	2014	10498
161	2026	10482
162	2038	10465
163	2052	10461
164	2070	10479
165	2087	10489
